City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
258,Charagua,BO,84.7,few clouds,-19.8,-63.2167,Hotel
263,Isangel,VU,79.97,scattered clouds,-19.55,169.2667,Tanna Lodge
264,Coahuayana,MX,85.3,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
269,Bambanglipuro,ID,77.5,overcast clouds,-7.95,110.2833,Puri Brata
272,Kudahuvadhoo,MV,84.96,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
274,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
275,Caravelas,BR,88.03,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
279,Harlingen,US,78.76,few clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
281,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
283,Mackay,AU,76.68,scattered clouds,-21.15,149.2,International Lodge Motel
288,Villanueva,HN,76.03,overcast clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
290,San Cristobal,VE,83.95,overcast clouds,7.7669,-72.225,Pirineos
291,Rio Grande,BR,77.95,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
292,Vung Tau,VN,79.66,scattered clouds,10.346,107.0843,Seaside Resort
293,Sambava,MG,77.58,light rain,-14.2667,50.1667,Melrose
295,Port Blair,IN,82.78,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
297,Mocuba,MZ,76.62,scattered clouds,-16.8392,36.9856,Phama Lodge
303,Tiznit,MA,81.88,few clouds,29.5833,-9.5,
305,Shush,IR,83.53,clear sky,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
306,Maningrida,AU,80.29,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
307,Dibulla,CO,84.06,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
310,San Pedro,PH,81.32,light rain,14.35,121.0167,Esquivel's Garden And Resort
313,Amahai,ID,78.46,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
322,Santa Rosa,PH,82.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
327,Harper,LR,85.68,overcast clouds,4.375,-7.7169,Screensaver
329,Poum,NC,79.5,broken clouds,-20.2333,164.0167,
335,Chakia,IN,83.57,clear sky,26.4167,85.05,Adarsh home 🏠
336,Sechura,PE,77.0,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
338,Alice,US,76.73,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
339,Beboto,TD,87.93,light rain,8.2668,16.939,
343,Santa,PH,84.02,broken clouds,17.486,120.4348,Monte Leah Beach Resort
346,Faanui,PF,82.2,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
347,Lucea,JM,80.01,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
348,Yazd,IR,82.51,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
355,Young,UY,77.54,clear sky,-32.6833,-57.6333,Posada Gira el Sol
356,Camopi,GF,81.68,overcast clouds,3.1655,-52.3158,La pousada
